,startphrase,ending1,ending2,labels
348,They were as close as politicians.,The weren't close at all.,They were very close.,0
349,They were as close as churchgoers.,The weren't close at all.,They were very close.,1
350,Her style was Harvard,Her style was advanced,Her style was underdeveloped,0
351,Her style was Kindergarten,Her style was advanced,Her style was underdeveloped,1
352,This book is as riveting as watching grass grow,The book is boring and uneventful,The book is over stimulating,0
353,This book is as riveting as watching a circus,The book is boring and uneventful,The book is over stimulating,1
354,The image had the beauty of an angel.,The image was beautiful.,The image was hideous.,0
355,The image had the beauty of a garbage can.,The image was beautiful.,The image was hideous.,1
356,The dinner tasted like bliss.,The dinner tasted good.,The dinner tasted horrible.,0
357,The dinner tasted like death.,The dinner tasted good.,The dinner tasted horrible.,1
358,Her knowledge was as vast as the universe,She had much knowledge,She had little knowledge,0
359,Her knowledge was as vast as a broom closet,She had much knowledge,She had little knowledge,1
360,Her mind was as clear as a foggy marsh,Her mind was confused,Her mind was sharp,0
361,Her mind was as clear as a sunny day in May,Her mind was confused,Her mind was sharp,1
362,The classroom was a firestorm,The classroom was in chaos.,The classroom was orderly.,0
363,The classroom was a military training,The classroom was in chaos.,The classroom was orderly.,1
364,"After the woman talked to him, the man's ego was a pancake",The man's ego shrank.,The man's ego grew.,0
365,"After the woman talked to him, the man's ego was a balloon",The man's ego shrank.,The man's ego grew.,1
366,She had a butt like two bulldogs fighting in a burlap sack,Her butt was fat and round,Her butt was flat and uninteresting,0
367,She had a butt like a stack of office paper,Her butt was fat and round,Her butt was flat and uninteresting,1
368,Watching that TV show was like going to the dentist,Watching the TV show was boring and painful,Watching the TV show was so good it was an almost otherworldly experience,0
369,Watching that TV show was like sitting in on a Ted talk by God himself,Watching the TV show was boring and painful,Watching the TV show was so good it was an almost otherworldly experience,1
370,The air was as fresh as a flower,The air smelled fresh.,The air smelled horrible.,0
371,The air was as fresh as a landfill,The air smelled fresh.,The air smelled horrible.,1
372,you are as bright as the night,You are dumb,You are smart,0
373,you are as bright a star,You are dumb,You are smart,1
374,The dress fits as well as a condom,The dress fits well.,The dress fits terribly.,0
375,The dress fits as well as sweatpants,The dress fits well.,The dress fits terribly.,1
376,The air in the town often has the fragrance of An open sewer,The air in the town smelled bad,The air in the town smelled good,0
377,The air in the town often has the fragrance of A field of flowers,The air in the town smelled bad,The air in the town smelled good,1
378,The oil inventory in the store rang of A struggling business,The oil inventory was sparse,The oil inventory was plentiful,0
379,The oil inventory in the store rang of A business in the land of plenty,The oil inventory was sparse,The oil inventory was plentiful,1
380,The portrayal of the historic figure in the play was As fake as a three-dollar bill,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,0
381,The portrayal of the historic figure in the play was As solid as a brick wall,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,1
382,It has the lifespan of a Jurupa Oak tree clone,It lives for a long time,It doesn't have long to live,0
383,It has the lifespan of a drunkard on a busy highway,It lives for a long time,It doesn't have long to live,1
384,The shampoo has the moisturizing power of a lotion made by Poseidon,It moisturizes very well,It doesn't moisturize well,0
385,The shampoo has the moisturizing power of a desert horned lizard,It moisturizes very well,It doesn't moisturize well,1
386,The goat had the drowsiness of a sloth after downing a bottle of melatonin,The goat was very drowsy,The goat was wide awake and alert,0
387,The goat had the drowsiness of a robber during a home invasion,The goat was very drowsy,The goat was wide awake and alert,1
388,Her hair was her armor,Her hair made her feel confident.,Her hair made her feel insecure.,0
389,Her hair was her Achilles heel.,Her hair made her feel confident.,Her hair made her feel insecure.,1
390,The roadtrip was an all out assault.,The roadtrip was extremely stressful,The roadtrip was relaxing.,0
391,The roadtrip was a massage on wheels.,The roadtrip was extremely stressful,The roadtrip was relaxing.,1
392,The man had the presence of a tower,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",0
393,The man had the presence of a mouse,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",1
394,Her passion for school was a fire,She had a lot of passion for school,She had very little passion for school,0
395,Her passion for school was a drip,She had a lot of passion for school,She had very little passion for school,1
396,The chemical burn was the size of Texas,The burn was big,The burn was tiny,0
397,The chemical burn was the size of a flea,The burn was big,The burn was tiny,1
398,His test questions had the difficulty of string theory,The questions were hard,The questions were easy,0
399,His test questions had the difficulty of the ABC's,The questions were hard,The questions were easy,1
400,The movie was as predictable as a hungry baby crying,The movie could be totally predicted.,The movie couldn't be predicted at all.,0
401,The movie was as predictable as San Francisco's weather,The movie could be totally predicted.,The movie couldn't be predicted at all.,1
402,The girl gets as much attention as a diamond ring,The girl gets showered with attention.,The girl doesn't get any attention at all.,0
403,The girl gets as much attention as a paper bag,The girl gets showered with attention.,The girl doesn't get any attention at all.,1
404,The girl's friends were as flaky as pie crust,The girl's friends were unreliable.,The girl's friends were totally reliable.,0
405,The girl's friends were as flaky as a bar of iron,The girl's friends were unreliable.,The girl's friends were totally reliable.,1
406,The meeting was an ant colony of ideas.,There were a lot of ideas being shared at the meeting.,The meeting had a total lack of ideas.,0
407,The meeting was a cold desert of ideas.,There were a lot of ideas being shared at the meeting.,The meeting had a total lack of ideas.,1
408,He had the graciousness of a king at court.,He was very gracious.,He was not very gracious.,0
409,He had the graciousness of a jester at court.,He was very gracious.,He was not very gracious.,1
410,Their marriage had the passion of a starving artist.,Their marriage is very passionate.,Their marriage is not very passionate.,0
411,Their marriage had the passion of sleeping tortoise.,Their marriage is very passionate.,Their marriage is not very passionate.,1
412,Our relationship was a leap from an airplane.,The relationship was exciting but frightening.,The relationship was peaceful.,0
413,Our relationship was a nap in the woods.,The relationship was exciting but frightening.,The relationship was peaceful.,1
414,the house was as beautiful as a painting,the house was pretty,the house was ugly,0
415,the house was as beautiful as a sick bear,the house was pretty,the house was ugly,1
416,The boy's tongue was as sharp as a scalpel.,The boy's speech was incisive.,The boy's speech was dull.,0
417,The boy's tongue was as sharp as beach ball.,The boy's speech was incisive.,The boy's speech was dull.,1
418,She is as bright as A rusted nail,She is dumb,She is smart,0
419,She is as bright as 100watt bulb,She is dumb,She is smart,1
420,The fish is as elusive as A unicorn,It is hard to find,It is easy to find,0
421,The fish is as elusive as A blowhorn,It is hard to find,It is easy to find,1
422,The house was as silent as a locomotive,The house was not silent,The house was silent,0
423,The house was as silent as a tomb,The house was not silent,The house was silent,1
424,The pillow is as soft as cotton,The pillow is soft,The pillow is not soft,0
425,The pillow is as soft as a concrete block,The pillow is soft,The pillow is not soft,1
426,The book was as enjoyable as a day at the fair,The book was enjoyable,The book was not enjoyable,0
427,The book was as enjoyable as a funeral,The book was enjoyable,The book was not enjoyable,1
428,Dinner was a symphony,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,0
429,Dinner was as flat as a single note played on a recorder,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,1
430,The homework was as difficult as rocket science,The homework was difficult,The homework was simple.,0
431,The homework was as difficult as saying your alphabet,The homework was difficult,The homework was simple.,1
432,He weighs as much as a thimble.,He is very light.,He is very heavy.,0
433,He weighs as much as a building.,He is very light.,He is very heavy.,1
434,The stove had the heat of the Chernobyl power plant right after the meltdown,The stove is very hot,The stove is cold,0
435,The stove had the heat of Walt Disney's cryogenically frozen body,The stove is very hot,The stove is cold,1
436,The computer had the processing power of an android Einstein,The computer has a lot of processing power,The computer has a low amount of processing power,0
437,The computer had the processing power of a deformed dodo clone,The computer has a lot of processing power,The computer has a low amount of processing power,1
438,The novel has the morality of a brothel,The novel is immoral,The novel is pious,0
439,The novel has the morality of a saint,The novel is immoral,The novel is pious,1
440,The town has the rules of Cinderella's step-mother.,The town is very strict and demanding.,The town is very lenient in its rules.,0
441,The town has the rules of a 60s hippie.,The town is very strict and demanding.,The town is very lenient in its rules.,1
442,He had the morality of a saint,He was a very moral person,He was a very immoral person.,0
443,He had the morality of a devil,He was a very moral person,He was a very immoral person.,1
444,He was as desirable as gold,He was very desirable,He was very undesirable,0
445,He was as desirable as the flu,He was very desirable,He was very undesirable,1
446,The soccer team is the London symphony,The soccer team is extremely well-coordinated.,The soccer team is poorly coordinated and chaotic.,0
447,The soccer team is a night club,The soccer team is extremely well-coordinated.,The soccer team is poorly coordinated and chaotic.,1
448,His dedication was built out of stone pillars.,He was very dedicated.,He was not very dedicated.,0
449,His dedication was built out of cardboard.,He was very dedicated.,He was not very dedicated.,1
450,She ran as fast as a bullet,She ran fast,She ran slowly,0
451,She ran as fast as a snail,She ran fast,She ran slowly,1
452,His movements were as delicate as a ballerina,His movements were delicate,His movements were not delicate,0
453,His movements were as delicate as a linebacker,His movements were delicate,His movements were not delicate,1
454,The light was as bright as a glittering diamond,The light was bright,The light was not bright,0
455,The light was as bright as an inkspot,The light was bright,The light was not bright,1
456,The sprint was graceful as a fat man headed to his favorite all you can eat buffet.,The sprint was slow but with a lot of effort.,There were many of competitors but the result was known beforehand.,0
457,The sprint was as competitive as a Vladamir Putin election result.,The sprint was slow but with a lot of effort.,There were many of competitors but the result was known beforehand.,1
458,The dinner's calorie count is as high as Mount Everest.,The calorie count was very high.,The calorie count was very low.,0
459,The dinner's calorie count is lower than Donald Trumps poll ratings.,The calorie count was very high.,The calorie count was very low.,1
460,The team's defense has as many holes in it as a Qanon conspiracy theory.,The defense is of poor quality.,The defense did not let the other team through to achieve anything.,0
461,The team's defense is better at blocking progress than the Senate Majority Leader.,The defense is of poor quality.,The defense did not let the other team through to achieve anything.,1
462,She walked like an elephant,She walked in a clumsy manner.,She walked with grace.,0
463,She walked like a ballerina,She walked in a clumsy manner.,She walked with grace.,1
464,The bottle is as clear as an ice cube,The bottle is crystal clear,The bottle is not clear at all,0
465,The bottle is as clear as sewer water,The bottle is crystal clear,The bottle is not clear at all,1
466,Their relationship to the truth was akin to a pile of old extension cords,They told a lot of lies and got tangled up in them,They told the truth and their story fit together,0
467,Their relationship to the truth was akin to a brand new zipper,They told a lot of lies and got tangled up in them,They told the truth and their story fit together,1
468,The light given off had the ambiance of a condemned elevator,The light given off was unappealing,The light given off was appealing,0
469,The light given off had the ambiance of a conservatory at twilight,The light given off was unappealing,The light given off was appealing,1
470,His eyes were the color of the night sky,His eyes were blue,His eyes were brown,0
471,His eyes were the color of mud,His eyes were blue,His eyes were brown,1
472,The boy is as clever as a fox,the boy is smart,the boy is dumb,0
473,The boy is as clever as a twig on a tree,the boy is smart,the boy is dumb,1
474,The template had the usefulness of a kitchen sink,The template was very useful.,The template was totally useless.,0
475,The template had the usefulness of window shopping,The template was very useful.,The template was totally useless.,1
476,That cat has the killer instinct of a velociraptor.,The cat was extremely deadly.,The cat was not very deadly.,0
477,That cat has the killer instinct of a banana slug.,The cat was extremely deadly.,The cat was not very deadly.,1
478,The stone was as heavy as A feather,The stone is light in weight,The stone is very heavy,0
479,The stone was as heavy as A ton of lead,The stone is light in weight,The stone is very heavy,1
480,The actors in the play had all the talent of A drunken sailor,The actors are not talented,The actors are very talented,0
481,The actors in the play had all the talent of An Academy Award winner,The actors are not talented,The actors are very talented,1
482,He is sharp like a tack.,He is smart.,He is dumb.,0
483,He is sharp like a eraser.,He is smart.,He is dumb.,1
484,The glasses had the dirtiness of a bride on her wedding night,The glasses are pretty dirty,The glases are clean,0
485,The glasses had the dirtiness of a bride on her wedding day,The glasses are pretty dirty,The glases are clean,1
486,The tofu is as spicy as a hot poker on your tongue.,The tofu is super spicy.,The tofu is not spicy at all.,0
487,The tofu is as spicy as milk.,The tofu is super spicy.,The tofu is not spicy at all.,1
488,In sparring class I got kicked in the head like a horse kick.,The kick was hard.,The kick was soft.,0
489,In sparring class I got kicked in the head like a gnat landing.,The kick was hard.,The kick was soft.,1
490,The boy is as polite as an inmate at a prison,the boy is mean,the boy is nice,0
491,The boy is as polite as a nun,the boy is mean,the boy is nice,1
492,The house is as pretty as a dead porcupine,the house is pretty,the house is ugly,0
493,The house is as pretty as a sunset,the house is pretty,the house is ugly,1
494,The blog post was as long as the Amazon River,The blog post was very long.,The blog post was very short.,0
495,The blog post was as long as a power nap,The blog post was very long.,The blog post was very short.,1
496,This drink has the sweetness of a chocolate coverd caramel,It is very sweet,It is fairly bland,0
497,This drink has the sweetness of a piece of white bread,It is very sweet,It is fairly bland,1
498,The headphones are as loud as a hurricane,The headphones are loud,The headphones are quiet,0
499,The headphones are as loud as a pin drop,The headphones are loud,The headphones are quiet,1
500,This boy has the intellect of a bucket of rocks.,The boy is stupid.,The boy is a super genius.,0
501,This boy has the intellect of 10 of Einstein's brains glued together.,The boy is stupid.,The boy is a super genius.,1
502,The cake has the density of a fluffy cloud in Heaven.,The cake is light and fluffy.,The cake is extremely dense.,0
503,The cake has the density of a dying star.,The cake is light and fluffy.,The cake is extremely dense.,1
504,that girl is going places as fast a donkey chasing its tail,she isn’t getting anywhere,she’s going quickly,0
505,that girl is going places as fast a rookie at a nascar track,she isn’t getting anywhere,she’s going quickly,1
506,that fortune teller is as magical as moonlight,she is talentless,she’s good at what she does,0
507,that fortune teller is as magical as harry potter,she is talentless,she’s good at what she does,1
508,My boss is as agreeable as a Sunday school teacher,my boss is nice,my boss is mean,0
509,My boss is as agreeable as rabid wolf,my boss is nice,my boss is mean,1
510,I'm as alert as a guard dog,I'm awake,I'm tired,0
511,I'm as alert as a sleeping sloth,I'm awake,I'm tired,1
512,He has the physical strength of 20 young lions,He is very strong,He has little strength,0
513,He has the physical strength of 20 sleeping sloths,He is very strong,He has little strength,1
514,The song was as classic as a chocolate chip cookie,The song was a total classic.,The song was really novel.,0
515,The song was as classic as freeze-dried ice cream,The song was a total classic.,The song was really novel.,1
516,Her range of career options was prix-fixe meal,Her range of career options was narrow.,She had a lot of career options.,0
517,Her range of career options was Chinese buffet,Her range of career options was narrow.,She had a lot of career options.,1
518,The gun was as dangerous as a lion,The gun was dangerous,The gun was harmless,0
519,The gun was as dangerous as a rabbit,The gun was dangerous,The gun was harmless,1
520,The car had the reliability of the sun rising,The car works well,The car does not work well,0
521,The car had the reliability of my grandfather's memory,The car works well,The car does not work well,1
522,The runner had the speed of a fired bullet,The runner is fast,The runner is slow,0
523,The runner had the speed of a box turtle,The runner is fast,The runner is slow,1
524,That girl is as pretty as a pile of dung,That girl is really ugly,That girl is beautiful,0
525,That girl is as pretty as flowers blooming in the spring,That girl is really ugly,That girl is beautiful,1
526,The woman had the radiance of a sun-lit meadow.,The woman is good looking.,The woman is not good looking.,0
527,The woman had the radiance of a dark alley.,The woman is good looking.,The woman is not good looking.,1
528,Her dancing companion was as physical as a many-armed gorilla.,The companion was clumsy.,The companion was graceful.,0
529,Her dancing companion was as physical as a lithe gelding.,The companion was clumsy.,The companion was graceful.,1
530,The drawing was as round as a globe.,The drawing was round.,"The drawing was not round at all, and in fact was square.",0
531,The drawing was as round as a block.,The drawing was round.,"The drawing was not round at all, and in fact was square.",1
532,Her photography had the beauty of a painting,Her photos were beautiful.,Her photos were ugly.,0
533,Her photography had the beauty of a garbage truck,Her photos were beautiful.,Her photos were ugly.,1
534,The floor was firm as a board,The floor was firm.,The floor was unsteady.,0
535,The floor was firm as mud,The floor was firm.,The floor was unsteady.,1
536,I could eat as much as the whole world,I am very hungry.,I am not very hungry.,0
537,I could eat as much as a crumb,I am very hungry.,I am not very hungry.,1
538,He has the social skills of a squirrel.,He is not sociable.,He is extremely sociable.,0
539,He has the social skills of a talk-show host.,He is not sociable.,He is extremely sociable.,1
540,She dresses like a trash can.,She dresses horribly.,She dresses nice.,0
541,She dresses like a princess.,She dresses horribly.,She dresses nice.,1
542,The juice box have the stickiness of a spider web covered in honey,The juice box is sticky,The juice box isn't very sticky,0
543,The juice box have the stickiness of 10-year-old fly trap paper,The juice box is sticky,The juice box isn't very sticky,1
544,She's about as hot as a supermodel,She is very good-looking.,She is not good looking.,0
545,She's about as hot as a mangy dog,She is very good-looking.,She is not good looking.,1
546,My truck is as fast as lightning,My truck is very fast.,My truck is very slow.,0
547,My truck is as fast as a slug,My truck is very fast.,My truck is very slow.,1
548,The lightbulb puts out as much light as the sun,The lightbulb puts out a lot of light.,The lightbulb does not put out any light.,0
549,The lightbulb puts out as much light as a rock,The lightbulb puts out a lot of light.,The lightbulb does not put out any light.,1
550,He treats her heart like a piñata,He breaks her heart.,He is careful about guarding her heart.,0
551,He treats her heart like glass,He breaks her heart.,He is careful about guarding her heart.,1
552,The girl liked her men to be as fancy as Louis Vuitton,The girl liked her men to be very fancy.,The girl liked her men to be very plain.,0
553,The girl liked her men to be as fancy as Dollar General,The girl liked her men to be very fancy.,The girl liked her men to be very plain.,1
554,The student's face was a volcanic field.,The student's face was bumpy.,The student's face was smooth.,0
555,The student's face was a sheet of ice.,The student's face was bumpy.,The student's face was smooth.,1
556,This job is a field of flowers.,The job is easy and nice.,The job is brutal and difficult.,0
557,This job is a hammer to the knees.,The job is easy and nice.,The job is brutal and difficult.,1
558,The guest speaker has the knowledge of an amoeba.,The guest speaker is dumb.,The guest speaker is brilliant.,0
559,The guest speaker has the knowledge of an Einstein.,The guest speaker is dumb.,The guest speaker is brilliant.,1
560,The doctor has the bedside manner of an ice cube.,The doctor is unpleasant.,The doctor is personable.,0
561,The doctor has the bedside manner of an electric blanket.,The doctor is unpleasant.,The doctor is personable.,1
562,The woman packed away as much food as a sprinter moments before a race,The woman ate very little.,The woman ate a lot.,0
563,The woman packed away as much food as a marathoner after a race,The woman ate very little.,The woman ate a lot.,1
564,The tacos were as authentic as Colombian coffee,The tacos were very authentic.,The tacos were Americanized.,0
565,The tacos were as authentic as fortune cookies,The tacos were very authentic.,The tacos were Americanized.,1
566,He's hiding his dismay like a toddler hides himself.,He's hiding his dismay badly.,He's hiding his dismay well.,0
567,He's hiding his dismay like an illusionist hides a coin.,He's hiding his dismay badly.,He's hiding his dismay well.,1
568,Reality is a Will-o'-the-wisp.,Reality is ephemeral.,Reality is solid and there.,0
569,Reality is the ground beneath our feet.,Reality is ephemeral.,Reality is solid and there.,1
570,The man runs faster than a tick on a cheetah.,The man runs very fast.,The man runs very slow.,0
571,The man runs faster than a snail on its back.,The man runs very fast.,The man runs very slow.,1
572,The book was found to be more interesting than fireworks in a desert at night.,The book was interesting to read.,The book was not interesting to read.,0
573,The book was found to be less interesting than sprinklers turned on in the rain.,The book was interesting to read.,The book was not interesting to read.,1
574,The screen play contained the reality of A children's fantasy novel,The screen play wasn't realistic,The screen play was very factual,0
575,The screen play contained the reality of A history book,The screen play wasn't realistic,The screen play was very factual,1
576,The testimony of the defendant was like A child caught in the cookie jar,The defendant's testimony was phony,The defendant's testimony was truthful,0
577,The testimony of the defendant was like An iron wall of truth,The defendant's testimony was phony,The defendant's testimony was truthful,1
578,His words are taken with a grain of salt.,His words are met with skepticism.,His words are thought to be valuable.,0
579,His words are treated like gold.,His words are met with skepticism.,His words are thought to be valuable.,1
580,"When he hid, he became a mouse.",He could hide very well.,He could not hide very well.,0
581,"When he hid, he became an elephant.",He could hide very well.,He could not hide very well.,1
582,The room was as empty as a hole,The room was totally empty.,The room was packed.,0
583,The room was as empty as Six Flags in the summer,The room was totally empty.,The room was packed.,1
584,The man slept like a baby,The man slept well.,The man had trouble sleeping.,0
585,The man slept like a caffeinated insomniac,The man slept well.,The man had trouble sleeping.,1
586,The man's skin was as thick as steel,The man was thick-skinned.,The man was thin-skinned.,0
587,The man's skin was as thick as paper,The man was thick-skinned.,The man was thin-skinned.,1
588,The fly is fingernails on a chalkboard,The fly is annoying,The fly isn't annoying,0
589,The fly is a warm blanket,The fly is annoying,The fly isn't annoying,1
590,His hair is black hole,His hair is black,His hair is white,0
591,His hair is milk,His hair is black,His hair is white,1
592,My wife gets me harder than seven bags of quick dry concrete,My wife makes me want to have sex really bad,My wife makes me not want to have sex,0
593,My wife gets me harder than a bowl of chocolate pudding,My wife makes me want to have sex really bad,My wife makes me not want to have sex,1
594,The meal was as sumptuous as a Thanksgiving buffet,The meal was rich.,The meal was plain.,0
595,The meal was as sumptuous as a brown bag lunch,The meal was rich.,The meal was plain.,1
596,The child ate with the enthusiasm of an anorexic,The child picked at his food.,The child ate hungrily.,0
597,The child ate with the enthusiasm of a beggar,The child picked at his food.,The child ate hungrily.,1
598,The book has the depth of an ice cube.,The book is not unique.,The book was fantastic.,0
599,The book has the depth of the sky.,The book is not unique.,The book was fantastic.,1
600,The painting has as many colors as a black hole.,The painting is bland.,The painting is vibrant and beatiful.,0
601,The painting has as many colors as an autumn forest.,The painting is bland.,The painting is vibrant and beatiful.,1
602,The parking lot is a mall.,The parking lot is full.,The parking lot is empty.,0
603,The parking lot is an abandoned stadium.,The parking lot is full.,The parking lot is empty.,1
604,The movie theater is a mall.,The movie theater is full.,The movie theater is empty.,0
605,The movie theater is an abandoned hotel.,The movie theater is full.,The movie theater is empty.,1
606,The steak has the texture of a diamond,The steak is hard,The steak is soft,0
607,The steak has the texture of silk,The steak is hard,The steak is soft,1
608,The houses are selling like Popeyes spicy chicken sandwich,Yh he houses are selling quickly,The houses are selling slowly because the conditions are bad.,0
609,The houses are selling like snow cones on a snowy day.,Yh he houses are selling quickly,The houses are selling slowly because the conditions are bad.,1
610,My puppy has the energy of an octogenarian librarian,My puppy doesn't have a lot of energy,My puppy has a lot of energy,0
611,My puppy has the energy of an all night rave,My puppy doesn't have a lot of energy,My puppy has a lot of energy,1
612,I found her to be as interesting as eating oatmeal,She was not interesting,She was very interesting,0
613,I found her to be as interesting as a naked lady in a basket weaving contest,She was not interesting,She was very interesting,1
614,Those peppers I ate were as hot as satan's toenails,The peppers were extremely hot,The peppers were not hot at all,0
615,Those peppers I ate were as hot as an old sock,The peppers were extremely hot,The peppers were not hot at all,1
616,The students thought the assignment was like reading a pop magazine,The assignment was enaging.,The assignment was dry.,0
617,The students thought the assignment was like reading a dictionary,The assignment was enaging.,The assignment was dry.,1
618,The student has a brain of a fruit fly,The student is dumb.,The student is smart.,0
619,The student has a brain of a sperm whale.,The student is dumb.,The student is smart.,1
620,The wife has the appearance of an evil witch.,The wife is ugly.,The wife is beautiful.,0
621,The wife has the appearance of a majestic queen.,The wife is ugly.,The wife is beautiful.,1
622,The mirror is a bed of rocks.,The mirror is bumpy.,The mirror is smooth.,0
623,The mirror is an ice rink.,The mirror is bumpy.,The mirror is smooth.,1
624,The truck has as much towing power as A rhinoceros,The truck is powerful,The truck is weak,0
625,The truck has as much towing power as A tricycle,The truck is powerful,The truck is weak,1
626,Camping in the woods is as much fun as traffic,Camping is stressful,Camping is relaxing,0
627,Camping in the woods is as much fun as Bubble wrap,Camping is stressful,Camping is relaxing,1
628,His head is as big as A planet,His head is large,His head is small,0
629,His head is as big as A push pin,His head is large,His head is small,1
630,He has the health of a race winning horse,His health is good,His health is poor,0
631,He has the health of a woolly mammoth,His health is good,His health is poor,1
632,The tree has the height of the Burj Khalifa,The tree is extremely tall,The tree is short,0
633,The tree has the height of a baby teacup poodle,The tree is extremely tall,The tree is short,1
634,The soda has the carbonation of a kid blowing into a cup with a straw,The soda has a lot of carbonation,The soda is flat,0
635,The soda has the carbonation of a crepe dinner,The soda has a lot of carbonation,The soda is flat,1
636,Her fingernails were brittle like stale bread,Her fingernails were brittle,Her fingernails were not brittle,0
637,Her fingernails were brittle like diamonds,Her fingernails were brittle,Her fingernails were not brittle,1
638,His soul was a black hole,His soul was evil,His soul was good,0
639,His soul was heavenly,His soul was evil,His soul was good,1
640,She was a suitcase ready to be opened.,She was extroverted.,She was introverted.,0
641,She was a locked treasure chest.,She was extroverted.,She was introverted.,1
642,The book's message is as meaningful as a family heirloom,The book's message has profound meaning.,The book's message has no meaning.,0
643,The book's message is as meaningful as junkyard finds,The book's message has profound meaning.,The book's message has no meaning.,1
644,He can run like a fugitive.,He can run really fast.,He cannot run really fast.,0
645,He can run like an eighty-year old man.,He can run really fast.,He cannot run really fast.,1
646,My phone buzzes like a bee,My phone is busy.,My phone is quiet.,0
647,My phone buzzes like a statue,My phone is busy.,My phone is quiet.,1
648,The stick had the brittleness of the bones of an 80 year old woman who never drank milk,The stick is very brittle,The stick is strong,0
649,The stick had the brittleness of the diamonds core of an exotic star,The stick is very brittle,The stick is strong,1
650,Her perfume lingered like a mangy dog,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,0
651,Her perfume lingered like a fairy,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,1
652,That old machine is as useful as an udder on a bull,The machine is useless,The machine does a great job,0
653,That old machine is as useful as new machines,The machine is useless,The machine does a great job,1
654,He had the depth of a bathtub,He was shallow.,He was deep.,0
655,He had the depth of the sea,He was shallow.,He was deep.,1
656,The sky was a piece of onyx,The night sky was black.,The sky was white.,0
657,The sky was an opal,The night sky was black.,The sky was white.,1
658,The movie was as funny as a book of knock-knock jokes,The movie wasn't really funny.,The movie was hilarious.,0
659,The movie was as funny as a standup comedy show,The movie wasn't really funny.,The movie was hilarious.,1
660,The fence has the rust of an old nail,The fence is very rusty,The fence is not rusty,0
661,The fence has the rust of a diamond,The fence is very rusty,The fence is not rusty,1
662,She's as cultured as champagne.,She is very cultured.,She isn't cultured at all.,0
663,She's as cultured as a bud-light.,She is very cultured.,She isn't cultured at all.,1
664,Her tastes are more Ferrari than backyard junker.,Her tastes are extremely expensive.,Her tastes are cheap.,0
665,Her tastes are more backyard junker than Ferrari.,Her tastes are extremely expensive.,Her tastes are cheap.,1
666,The quarterback was throwing straight surface-to-air missiles.,He throws far,He can't throw very well,0
667,The quarterback was throwing straight duds,He throws far,He can't throw very well,1
668,His argument was like a shadow,his argument had no substance,his argument was felt,0
669,His argument was like a chiropractor,his argument had no substance,his argument was felt,1
670,The day was like a news clip,the day went by fast,the day was really long,0
671,The day was like the Pan-American Highway,the day went by fast,the day was really long,1
672,The meeting was as solemn as Sunday morning Mass.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,0
673,The meeting was as solemn as a college football game.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,1
674,The restaurant experience was like a stately dinner.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,0
675,The restaurant experience was like a dinner at grandma's on the weekend.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,1
676,The lawyer was as humble as Icarus.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,0
677,The lawyer was as humble as an ancient monk.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,1
678,The bike tires have the sturdiness of a vanilla wafer.,The bike tires are flimsy.,The bike tires are well built.,0
679,The bike tires have the sturdiness of Atlas.,The bike tires are flimsy.,The bike tires are well built.,1
680,The lake is a wave pool.,The lake is choppy.,The lake is calm.,0
681,The lake is a sheet of glass.,The lake is choppy.,The lake is calm.,1
682,The ocean is a sheet of ice.,The ocean is smooth.,The ocean is choppy.,0
683,The ocean is a bed of rocks.,The ocean is smooth.,The ocean is choppy.,1
684,The TV show has the depth of a toilet.,The TV show is shallow.,The TV show is cerebral.,0
685,The TV show has the depth of the dead sea.,The TV show is shallow.,The TV show is cerebral.,1
686,She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,0
687,She was as flaky as steel,She was extremely flaky.,She wasn't flaky at all.,1
688,The book is an complex as the night sky,The book is very complicated.,The book is easy to understand.,0
689,The book is an complex as a children's puzzle,The book is very complicated.,The book is easy to understand.,1
690,Driving in this fog was like moving in quicksand,the fog was thick,the fog was thin,0
691,Driving in this fog was like a photon travelling in empty space,the fog was thick,the fog was thin,1
692,"When she hustles, she looks like a transformer",she hustles cumbersomely,she hustles gracefully,0
693,"When she hustles, she looks like a gazelle",she hustles cumbersomely,she hustles gracefully,1
694,He's as transparent as a window.,He is easy to read.,He is not easy to read.,0
695,He's as transparent as a sandstorm.,He is easy to read.,He is not easy to read.,1
696,That movie was as long as a prison sentence.,The movie was really long.,The movie was really short.,0
697,That movie was as long as a fifty-yard dash.,The movie was really long.,The movie was really short.,1
