,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
360,Her mind was as clear as a foggy marsh,Her mind was confused,Her mind was sharp,0,marsh,"wet, muddy, murky","Her mind was as clear as a foggy marsh. Characteristics of marsh include: wet, muddy, murky."
361,Her mind was as clear as a sunny day in May,Her mind was confused,Her mind was sharp,1,day,"Fleeting, illuminating, transformative","Her mind was as clear as a sunny day in May. Characteristics of day include: Fleeting, illuminating, transformative."
362,The classroom was a firestorm,The classroom was in chaos.,The classroom was orderly.,0,firestorm,"intense, destructive, chaotic","The classroom was a firestorm. Characteristics of firestorm include: intense, destructive, chaotic."
363,The classroom was a military training,The classroom was in chaos.,The classroom was orderly.,1,classroom,"structured, interactive, enlightening","The classroom was a military training. Characteristics of classroom include: structured, interactive, enlightening."
364,"After the woman talked to him, the man's ego was a pancake",The man's ego shrank.,The man's ego grew.,0,pancake,"fluffy, comforting, versatile","After the woman talked to him, the man's ego was a pancake. Characteristics of pancake include: fluffy, comforting, versatile."
365,"After the woman talked to him, the man's ego was a balloon",The man's ego shrank.,The man's ego grew.,1,balloon,"Colorful, Light, Floating","After the woman talked to him, the man's ego was a balloon. Characteristics of balloon include: Colorful, Light, Floating."
366,She had a butt like two bulldogs fighting in a burlap sack,Her butt was fat and round,Her butt was flat and uninteresting,0,butt,"playful, cheeky, daring","She had a butt like two bulldogs fighting in a burlap sack. Characteristics of butt include: playful, cheeky, daring."
367,She had a butt like a stack of office paper,Her butt was fat and round,Her butt was flat and uninteresting,1,stack,"tall, sturdy, organized","She had a butt like a stack of office paper. Characteristics of stack include: tall, sturdy, organized."
368,Watching that TV show was like going to the dentist,Watching the TV show was boring and painful,Watching the TV show was so good it was an almost otherworldly experience,0,dentist,"skilled, meticulous, empathetic","Watching that TV show was like going to the dentist. Characteristics of dentist include: skilled, meticulous, empathetic."
369,Watching that TV show was like sitting in on a Ted talk by God himself,Watching the TV show was boring and painful,Watching the TV show was so good it was an almost otherworldly experience,1,talk,"expressive, interactive, persuasive","Watching that TV show was like sitting in on a Ted talk by God himself. Characteristics of talk include: expressive, interactive, persuasive."
370,The air was as fresh as a flower,The air smelled fresh.,The air smelled horrible.,0,flower,"delicate, vibrant, fragrant","The air was as fresh as a flower. Characteristics of flower include: delicate, vibrant, fragrant."
371,The air was as fresh as a landfill,The air smelled fresh.,The air smelled horrible.,1,landfill,"Populous, polluted, expansive","The air was as fresh as a landfill. Characteristics of landfill include: Populous, polluted, expansive."
372,you are as bright as the night,You are dumb,You are smart,0,night,"mysterious, enchanting, transformative","you are as bright as the night. Characteristics of night include: mysterious, enchanting, transformative."
373,you are as bright a star,You are dumb,You are smart,1,star,"glittering, celestial, renowned","you are as bright a star. Characteristics of star include: glittering, celestial, renowned."
374,The dress fits as well as a condom,The dress fits well.,The dress fits terribly.,0,condom,"protective, discreet, preventative","The dress fits as well as a condom. Characteristics of condom include: protective, discreet, preventative."
375,The dress fits as well as sweatpants,The dress fits well.,The dress fits terribly.,1,sweatpants,"comfortable, casual, relaxed","The dress fits as well as sweatpants. Characteristics of sweatpants include: comfortable, casual, relaxed."
376,The air in the town often has the fragrance of An open sewer,The air in the town smelled bad,The air in the town smelled good,0,sewer,"dark, foul, neglected","The air in the town often has the fragrance of An open sewer. Characteristics of sewer include: dark, foul, neglected."
377,The air in the town often has the fragrance of A field of flowers,The air in the town smelled bad,The air in the town smelled good,1,flowers,"beautiful, vibrant, delicate","The air in the town often has the fragrance of A field of flowers. Characteristics of flowers include: beautiful, vibrant, delicate."
378,The oil inventory in the store rang of A struggling business,The oil inventory was sparse,The oil inventory was plentiful,0,business,"demanding, competitive, dynamic","The oil inventory in the store rang of A struggling business. Characteristics of business include: demanding, competitive, dynamic."
379,The oil inventory in the store rang of A business in the land of plenty,The oil inventory was sparse,The oil inventory was plentiful,1,business,"competitive, dynamic, lucrative","The oil inventory in the store rang of A business in the land of plenty. Characteristics of business include: competitive, dynamic, lucrative."
380,The portrayal of the historic figure in the play was As fake as a three-dollar bill,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,0,bill,"fiscal, avian, sharp","The portrayal of the historic figure in the play was As fake as a three-dollar bill. Characteristics of bill include: fiscal, avian, sharp."
381,The portrayal of the historic figure in the play was As solid as a brick wall,The portrayal of the historic figure is phony,The portrayal of the historic figure is well done,1,brick wall,"sturdy, impenetrable, unyielding","The portrayal of the historic figure in the play was As solid as a brick wall. Characteristics of brick wall include: sturdy, impenetrable, unyielding."
382,It has the lifespan of a Jurupa Oak tree clone,It lives for a long time,It doesn't have long to live,0,tree clone,"durable, resilient, regenerative","It has the lifespan of a Jurupa Oak tree clone. Characteristics of tree clone include: durable, resilient, regenerative."
383,It has the lifespan of a drunkard on a busy highway,It lives for a long time,It doesn't have long to live,1,highway,"busy, expansive, interconnected","It has the lifespan of a drunkard on a busy highway. Characteristics of highway include: busy, expansive, interconnected."
384,The shampoo has the moisturizing power of a lotion made by Poseidon,It moisturizes very well,It doesn't moisturize well,0,lotion,"smooth, moisturizing, soothing","The shampoo has the moisturizing power of a lotion made by Poseidon. Characteristics of lotion include: smooth, moisturizing, soothing."
385,The shampoo has the moisturizing power of a desert horned lizard,It moisturizes very well,It doesn't moisturize well,1,lizard,"scaly, agile, elusive","The shampoo has the moisturizing power of a desert horned lizard. Characteristics of lizard include: scaly, agile, elusive."
386,The goat had the drowsiness of a sloth after downing a bottle of melatonin,The goat was very drowsy,The goat was wide awake and alert,0,sloth,"lazy, slow, lethargic","The goat had the drowsiness of a sloth after downing a bottle of melatonin. Characteristics of sloth include: lazy, slow, lethargic."
387,The goat had the drowsiness of a robber during a home invasion,The goat was very drowsy,The goat was wide awake and alert,1,robber,"deceptive, cunning, elusive","The goat had the drowsiness of a robber during a home invasion. Characteristics of robber include: deceptive, cunning, elusive."
388,Her hair was her armor,Her hair made her feel confident.,Her hair made her feel insecure.,0,armor,"protective, sturdy, invincible","Her hair was her armor. Characteristics of armor include: protective, sturdy, invincible."
389,Her hair was her Achilles heel.,Her hair made her feel confident.,Her hair made her feel insecure.,1,hair,"Shiny, versatile, expressive","Her hair was her Achilles heel. Characteristics of hair include: Shiny, versatile, expressive."
390,The roadtrip was an all out assault.,The roadtrip was extremely stressful,The roadtrip was relaxing.,0,assault,"violent, aggressive, harmful","The roadtrip was an all out assault. Characteristics of assault include: violent, aggressive, harmful."
391,The roadtrip was a massage on wheels.,The roadtrip was extremely stressful,The roadtrip was relaxing.,1,wheels,"Round, Spinning, Mobile","The roadtrip was a massage on wheels. Characteristics of wheels include: Round, Spinning, Mobile."
392,The man had the presence of a tower,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",0,tower,"tall, majestic, commanding","The man had the presence of a tower. Characteristics of tower include: tall, majestic, commanding."
393,The man had the presence of a mouse,The man was noticeable and had lots of presence.,"The man was unnoticed, and lacked presence.",1,mouse,"tiny, sneaky, curious","The man had the presence of a mouse. Characteristics of mouse include: tiny, sneaky, curious."
394,Her passion for school was a fire,She had a lot of passion for school,She had very little passion for school,0,fire,"passionate, destructive, transformative","Her passion for school was a fire. Characteristics of fire include: passionate, destructive, transformative."
395,Her passion for school was a drip,She had a lot of passion for school,She had very little passion for school,1,drip,"slow, monotonous, persistent","Her passion for school was a drip. Characteristics of drip include: slow, monotonous, persistent."
396,The chemical burn was the size of Texas,The burn was big,The burn was tiny,0,Texas,"massive, patriotic, proud","The chemical burn was the size of Texas. Characteristics of Texas include: massive, patriotic, proud."
397,The chemical burn was the size of a flea,The burn was big,The burn was tiny,1,flea,"tiny, annoying, persistent","The chemical burn was the size of a flea. Characteristics of flea include: tiny, annoying, persistent."
398,His test questions had the difficulty of string theory,The questions were hard,The questions were easy,0,theory,"abstract, explanatory, speculative","His test questions had the difficulty of string theory. Characteristics of theory include: abstract, explanatory, speculative."
399,His test questions had the difficulty of the ABC's,The questions were hard,The questions were easy,1,ABC's,"Fundamental, Alphabetical, Elementary","His test questions had the difficulty of the ABC's. Characteristics of ABC's include: Fundamental, Alphabetical, Elementary."
400,The movie was as predictable as a hungry baby crying,The movie could be totally predicted.,The movie couldn't be predicted at all.,0,baby,"cute, innocent, delicate","The movie was as predictable as a hungry baby crying. Characteristics of baby include: cute, innocent, delicate."
401,The movie was as predictable as San Francisco's weather,The movie could be totally predicted.,The movie couldn't be predicted at all.,1,weather,"Ever-changing, Unpredictable, Influential","The movie was as predictable as San Francisco's weather. Characteristics of weather include: Ever-changing, Unpredictable, Influential."
402,The girl gets as much attention as a diamond ring,The girl gets showered with attention.,The girl doesn't get any attention at all.,0,ring,"Shiny, Circular, Symbolic","The girl gets as much attention as a diamond ring. Characteristics of ring include: Shiny, Circular, Symbolic."
403,The girl gets as much attention as a paper bag,The girl gets showered with attention.,The girl doesn't get any attention at all.,1,attention,"captivating, selective, intense","The girl gets as much attention as a paper bag. Characteristics of attention include: captivating, selective, intense."
404,The girl's friends were as flaky as pie crust,The girl's friends were unreliable.,The girl's friends were totally reliable.,0,crust,"rough, protective, outer","The girl's friends were as flaky as pie crust. Characteristics of crust include: rough, protective, outer."
405,The girl's friends were as flaky as a bar of iron,The girl's friends were unreliable.,The girl's friends were totally reliable.,1,bar,"popular, social, energetic","The girl's friends were as flaky as a bar of iron. Characteristics of bar include: popular, social, energetic."
406,The meeting was an ant colony of ideas.,There were a lot of ideas being shared at the meeting.,The meeting had a total lack of ideas.,0,colony,"Dependent, organized, expansionary","The meeting was an ant colony of ideas. Characteristics of colony include: Dependent, organized, expansionary."
407,The meeting was a cold desert of ideas.,There were a lot of ideas being shared at the meeting.,The meeting had a total lack of ideas.,1,desert,"Empty, vast, unforgiving","The meeting was a cold desert of ideas. Characteristics of desert include: Empty, vast, unforgiving."
408,He had the graciousness of a king at court.,He was very gracious.,He was not very gracious.,0,king,"regal, powerful, commanding","He had the graciousness of a king at court. Characteristics of king include: regal, powerful, commanding."
409,He had the graciousness of a jester at court.,He was very gracious.,He was not very gracious.,1,jester,"comical, entertaining, mischievous","He had the graciousness of a jester at court. Characteristics of jester include: comical, entertaining, mischievous."
410,Their marriage had the passion of a starving artist.,Their marriage is very passionate.,Their marriage is not very passionate.,0,artist,"creative, expressive, visionary","Their marriage had the passion of a starving artist. Characteristics of artist include: creative, expressive, visionary."
411,Their marriage had the passion of sleeping tortoise.,Their marriage is very passionate.,Their marriage is not very passionate.,1,tortoise,"steady, timeless, resilient","Their marriage had the passion of sleeping tortoise. Characteristics of tortoise include: steady, timeless, resilient."
412,Our relationship was a leap from an airplane.,The relationship was exciting but frightening.,The relationship was peaceful.,0,airplane,"fast, soaring, powerful","Our relationship was a leap from an airplane. Characteristics of airplane include: fast, soaring, powerful."
413,Our relationship was a nap in the woods.,The relationship was exciting but frightening.,The relationship was peaceful.,1,nap,"relaxing, rejuvenating, quick","Our relationship was a nap in the woods. Characteristics of nap include: relaxing, rejuvenating, quick."
414,the house was as beautiful as a painting,the house was pretty,the house was ugly,0,painting,"expressive, transformative, captivating","the house was as beautiful as a painting. Characteristics of painting include: expressive, transformative, captivating."
415,the house was as beautiful as a sick bear,the house was pretty,the house was ugly,1,bear,"fierce, resilient, powerful","the house was as beautiful as a sick bear. Characteristics of bear include: fierce, resilient, powerful."
416,The boy's tongue was as sharp as a scalpel.,The boy's speech was incisive.,The boy's speech was dull.,0,scalpel,"sharp, precise, surgical","The boy's tongue was as sharp as a scalpel. Characteristics of scalpel include: sharp, precise, surgical."
417,The boy's tongue was as sharp as beach ball.,The boy's speech was incisive.,The boy's speech was dull.,1,beach ball,"bouncy, colorful, summery","The boy's tongue was as sharp as beach ball. Characteristics of beach ball include: bouncy, colorful, summery."
418,She is as bright as A rusted nail,She is dumb,She is smart,0,nail,"sharp, durable, versatile","She is as bright as A rusted nail. Characteristics of nail include: sharp, durable, versatile."
419,She is as bright as 100watt bulb,She is dumb,She is smart,1,bulb,"rounded, bright, incandescent","She is as bright as 100watt bulb. Characteristics of bulb include: rounded, bright, incandescent."
420,The fish is as elusive as A unicorn,It is hard to find,It is easy to find,0,unicorn,"magical, mythical, elusive","The fish is as elusive as A unicorn. Characteristics of unicorn include: magical, mythical, elusive."
421,The fish is as elusive as A blowhorn,It is hard to find,It is easy to find,1,blowhorn,"loud, commanding, attention-grabbing","The fish is as elusive as A blowhorn. Characteristics of blowhorn include: loud, commanding, attention-grabbing."
422,The house was as silent as a locomotive,The house was not silent,The house was silent,0,locomotive,"Strong, powerful, transformative","The house was as silent as a locomotive. Characteristics of locomotive include: Strong, powerful, transformative."
423,The house was as silent as a tomb,The house was not silent,The house was silent,1,tomb,"mystical, somber, eternal","The house was as silent as a tomb. Characteristics of tomb include: mystical, somber, eternal."
424,The pillow is as soft as cotton,The pillow is soft,The pillow is not soft,0,cotton,"Soft, versatile, natural","The pillow is as soft as cotton. Characteristics of cotton include: Soft, versatile, natural."
425,The pillow is as soft as a concrete block,The pillow is soft,The pillow is not soft,1,block,"solid, obstructive, stationary","The pillow is as soft as a concrete block. Characteristics of block include: solid, obstructive, stationary."
426,The book was as enjoyable as a day at the fair,The book was enjoyable,The book was not enjoyable,0,fair,"impartial, equitable, unbiased","The book was as enjoyable as a day at the fair. Characteristics of fair include: impartial, equitable, unbiased."
427,The book was as enjoyable as a funeral,The book was enjoyable,The book was not enjoyable,1,funeral,"somber, solemn, mournful","The book was as enjoyable as a funeral. Characteristics of funeral include: somber, solemn, mournful."
428,Dinner was a symphony,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,0,symphony,"harmonious, expressive, grand","Dinner was a symphony. Characteristics of symphony include: harmonious, expressive, grand."
429,Dinner was as flat as a single note played on a recorder,The dinner was delightful and full of complex flavors that all worked well together,The dinner was boring with little flavor,1,note,"brief, melodious, memorable","Dinner was as flat as a single note played on a recorder. Characteristics of note include: brief, melodious, memorable."
430,The homework was as difficult as rocket science,The homework was difficult,The homework was simple.,0,science,"systematic, rational, empirical","The homework was as difficult as rocket science. Characteristics of science include: systematic, rational, empirical."
431,The homework was as difficult as saying your alphabet,The homework was difficult,The homework was simple.,1,alphabet,"Abbreviated, Symbolic, Fundamental","The homework was as difficult as saying your alphabet. Characteristics of alphabet include: Abbreviated, Symbolic, Fundamental."
432,He weighs as much as a thimble.,He is very light.,He is very heavy.,0,thimble,"small, delicate, useful","He weighs as much as a thimble. Characteristics of thimble include: small, delicate, useful."
433,He weighs as much as a building.,He is very light.,He is very heavy.,1,building,"grand, imposing, towering","He weighs as much as a building. Characteristics of building include: grand, imposing, towering."
434,The stove had the heat of the Chernobyl power plant right after the meltdown,The stove is very hot,The stove is cold,0,power plant,"Efficient, Dominant, Electric","The stove had the heat of the Chernobyl power plant right after the meltdown. Characteristics of power plant include: Efficient, Dominant, Electric."
435,The stove had the heat of Walt Disney's cryogenically frozen body,The stove is very hot,The stove is cold,1,body,"active, complex, expressive","The stove had the heat of Walt Disney's cryogenically frozen body. Characteristics of body include: active, complex, expressive."
436,The computer had the processing power of an android Einstein,The computer has a lot of processing power,The computer has a low amount of processing power,0,power,"dominant, influential, commanding","The computer had the processing power of an android Einstein. Characteristics of power include: dominant, influential, commanding."
437,The computer had the processing power of a deformed dodo clone,The computer has a lot of processing power,The computer has a low amount of processing power,1,dodo,"extinct, clumsy, gullible","The computer had the processing power of a deformed dodo clone. Characteristics of dodo include: extinct, clumsy, gullible."
438,The novel has the morality of a brothel,The novel is immoral,The novel is pious,0,brothel,"debauched, clandestine, illicit","The novel has the morality of a brothel. Characteristics of brothel include: debauched, clandestine, illicit."
439,The novel has the morality of a saint,The novel is immoral,The novel is pious,1,saint,"holy, virtuous, selfless","The novel has the morality of a saint. Characteristics of saint include: holy, virtuous, selfless."
440,The town has the rules of Cinderella's step-mother.,The town is very strict and demanding.,The town is very lenient in its rules.,0,step-mother,"strict, misunderstood, nurturing","The town has the rules of Cinderella's step-mother. Characteristics of step-mother include: strict, misunderstood, nurturing."
441,The town has the rules of a 60s hippie.,The town is very strict and demanding.,The town is very lenient in its rules.,1,hippie,"idealistic, nonconformist, free-spirited","The town has the rules of a 60s hippie. Characteristics of hippie include: idealistic, nonconformist, free-spirited."
442,He had the morality of a saint,He was a very moral person,He was a very immoral person.,0,saint,"pure, selfless, revered","He had the morality of a saint. Characteristics of saint include: pure, selfless, revered."
443,He had the morality of a devil,He was a very moral person,He was a very immoral person.,1,devil,"Sinister, Mischievous, Tempting","He had the morality of a devil. Characteristics of devil include: Sinister, Mischievous, Tempting."
444,He was as desirable as gold,He was very desirable,He was very undesirable,0,gold,"Shimmering, precious, coveted","He was as desirable as gold. Characteristics of gold include: Shimmering, precious, coveted."
445,He was as desirable as the flu,He was very desirable,He was very undesirable,1,flu,"Common, contagious, debilitating","He was as desirable as the flu. Characteristics of flu include: Common, contagious, debilitating."
446,The soccer team is the London symphony,The soccer team is extremely well-coordinated.,The soccer team is poorly coordinated and chaotic.,0,symphony,"Harmonious, melodic, grand","The soccer team is the London symphony. Characteristics of symphony include: Harmonious, melodic, grand."
447,The soccer team is a night club,The soccer team is extremely well-coordinated.,The soccer team is poorly coordinated and chaotic.,1,club,"exclusive, social, recreational","The soccer team is a night club. Characteristics of club include: exclusive, social, recreational."
448,His dedication was built out of stone pillars.,He was very dedicated.,He was not very dedicated.,0,pillars,"supportive, strong, foundational","His dedication was built out of stone pillars. Characteristics of pillars include: supportive, strong, foundational."
449,His dedication was built out of cardboard.,He was very dedicated.,He was not very dedicated.,1,cardboard,"sturdy, versatile, utilitarian","His dedication was built out of cardboard. Characteristics of cardboard include: sturdy, versatile, utilitarian."
450,She ran as fast as a bullet,She ran fast,She ran slowly,0,bullet,"deadly, swift, penetrating","She ran as fast as a bullet. Characteristics of bullet include: deadly, swift, penetrating."
451,She ran as fast as a snail,She ran fast,She ran slowly,1,snail,"slow, small, slimy","She ran as fast as a snail. Characteristics of snail include: slow, small, slimy."
452,His movements were as delicate as a ballerina,His movements were delicate,His movements were not delicate,0,ballerina,"graceful, agile, poised","His movements were as delicate as a ballerina. Characteristics of ballerina include: graceful, agile, poised."
453,His movements were as delicate as a linebacker,His movements were delicate,His movements were not delicate,1,linebacker,"aggressive, formidable, strategic","His movements were as delicate as a linebacker. Characteristics of linebacker include: aggressive, formidable, strategic."
454,The light was as bright as a glittering diamond,The light was bright,The light was not bright,0,diamond,"precious, sparkling, rare","The light was as bright as a glittering diamond. Characteristics of diamond include: precious, sparkling, rare."
455,The light was as bright as an inkspot,The light was bright,The light was not bright,1,inkspot,"blotchy, dark, intriguing","The light was as bright as an inkspot. Characteristics of inkspot include: blotchy, dark, intriguing."
456,The sprint was graceful as a fat man headed to his favorite all you can eat buffet.,The sprint was slow but with a lot of effort.,There were many of competitors but the result was known beforehand.,0,buffet,"endless, versatile, indulgent","The sprint was graceful as a fat man headed to his favorite all you can eat buffet. Characteristics of buffet include: endless, versatile, indulgent."
457,The sprint was as competitive as a Vladamir Putin election result.,The sprint was slow but with a lot of effort.,There were many of competitors but the result was known beforehand.,1,result,"positive, decisive, consequential","The sprint was as competitive as a Vladamir Putin election result. Characteristics of result include: positive, decisive, consequential."
458,The dinner's calorie count is as high as Mount Everest.,The calorie count was very high.,The calorie count was very low.,0,Everest,"majestic, towering, legendary","The dinner's calorie count is as high as Mount Everest. Characteristics of Everest include: majestic, towering, legendary."
459,The dinner's calorie count is lower than Donald Trumps poll ratings.,The calorie count was very high.,The calorie count was very low.,1,ratings,"subjective, influential, informative","The dinner's calorie count is lower than Donald Trumps poll ratings. Characteristics of ratings include: subjective, influential, informative."
460,The team's defense has as many holes in it as a Qanon conspiracy theory.,The defense is of poor quality.,The defense did not let the other team through to achieve anything.,0,conspiracy theory,"intriguing, controversial, speculative","The team's defense has as many holes in it as a Qanon conspiracy theory. Characteristics of conspiracy theory include: intriguing, controversial, speculative."
461,The team's defense is better at blocking progress than the Senate Majority Leader.,The defense is of poor quality.,The defense did not let the other team through to achieve anything.,1,Leader,"Influential, visionary, authoritative","The team's defense is better at blocking progress than the Senate Majority Leader. Characteristics of Leader include: Influential, visionary, authoritative."
462,She walked like an elephant,She walked in a clumsy manner.,She walked with grace.,0,elephant,"Gentle, Majestic, Wise","She walked like an elephant. Characteristics of elephant include: Gentle, Majestic, Wise."
463,She walked like a ballerina,She walked in a clumsy manner.,She walked with grace.,1,ballerina,"graceful, elegant, poised","She walked like a ballerina. Characteristics of ballerina include: graceful, elegant, poised."
464,The bottle is as clear as an ice cube,The bottle is crystal clear,The bottle is not clear at all,0,ice cube,"cold, solid, refreshing","The bottle is as clear as an ice cube. Characteristics of ice cube include: cold, solid, refreshing."
465,The bottle is as clear as sewer water,The bottle is crystal clear,The bottle is not clear at all,1,water,"clear, refreshing, life-giving","The bottle is as clear as sewer water. Characteristics of water include: clear, refreshing, life-giving."
466,Their relationship to the truth was akin to a pile of old extension cords,They told a lot of lies and got tangled up in them,They told the truth and their story fit together,0,cords,"flexible, entangled, connected","Their relationship to the truth was akin to a pile of old extension cords. Characteristics of cords include: flexible, entangled, connected."
467,Their relationship to the truth was akin to a brand new zipper,They told a lot of lies and got tangled up in them,They told the truth and their story fit together,1,zipper,"fast, versatile, secure","Their relationship to the truth was akin to a brand new zipper. Characteristics of zipper include: fast, versatile, secure."
468,The light given off had the ambiance of a condemned elevator,The light given off was unappealing,The light given off was appealing,0,elevator,"functional, efficient, convenient","The light given off had the ambiance of a condemned elevator. Characteristics of elevator include: functional, efficient, convenient."
469,The light given off had the ambiance of a conservatory at twilight,The light given off was unappealing,The light given off was appealing,1,conservatory,"elegant, artistic, nurturing","The light given off had the ambiance of a conservatory at twilight. Characteristics of conservatory include: elegant, artistic, nurturing."
470,His eyes were the color of the night sky,His eyes were blue,His eyes were brown,0,color,"vibrant, expressive, captivating","His eyes were the color of the night sky. Characteristics of color include: vibrant, expressive, captivating."
471,His eyes were the color of mud,His eyes were blue,His eyes were brown,1,color,"vibrant, expressive, transformative","His eyes were the color of mud. Characteristics of color include: vibrant, expressive, transformative."
472,The boy is as clever as a fox,the boy is smart,the boy is dumb,0,fox,"sly, agile, cunning","The boy is as clever as a fox. Characteristics of fox include: sly, agile, cunning."
473,The boy is as clever as a twig on a tree,the boy is smart,the boy is dumb,1,twig,"slender, delicate, woody","The boy is as clever as a twig on a tree. Characteristics of twig include: slender, delicate, woody."
474,The template had the usefulness of a kitchen sink,The template was very useful.,The template was totally useless.,0,sink,"draining, submerging, engulfing","The template had the usefulness of a kitchen sink. Characteristics of sink include: draining, submerging, engulfing."
475,The template had the usefulness of window shopping,The template was very useful.,The template was totally useless.,1,shopping,"exciting, therapeutic, addictive","The template had the usefulness of window shopping. Characteristics of shopping include: exciting, therapeutic, addictive."
476,That cat has the killer instinct of a velociraptor.,The cat was extremely deadly.,The cat was not very deadly.,0,velociraptor,"ferocious, agile, cunning","That cat has the killer instinct of a velociraptor. Characteristics of velociraptor include: ferocious, agile, cunning."
477,That cat has the killer instinct of a banana slug.,The cat was extremely deadly.,The cat was not very deadly.,1,slug,"Slimy, slow, slim","That cat has the killer instinct of a banana slug. Characteristics of slug include: Slimy, slow, slim."
478,The stone was as heavy as A feather,The stone is light in weight,The stone is very heavy,0,feather,"light, delicate, graceful","The stone was as heavy as A feather. Characteristics of feather include: light, delicate, graceful."
479,The stone was as heavy as A ton of lead,The stone is light in weight,The stone is very heavy,1,lead,"heavy, toxic, influential","The stone was as heavy as A ton of lead. Characteristics of lead include: heavy, toxic, influential."
480,The actors in the play had all the talent of A drunken sailor,The actors are not talented,The actors are very talented,0,sailor,"brave, adventurous, seasoned","The actors in the play had all the talent of A drunken sailor. Characteristics of sailor include: brave, adventurous, seasoned."
481,The actors in the play had all the talent of An Academy Award winner,The actors are not talented,The actors are very talented,1,winner,"ambitious, determined, triumphant","The actors in the play had all the talent of An Academy Award winner. Characteristics of winner include: ambitious, determined, triumphant."
482,He is sharp like a tack.,He is smart.,He is dumb.,0,tack,"sharp, quick, adaptable","He is sharp like a tack. Characteristics of tack include: sharp, quick, adaptable."
483,He is sharp like a eraser.,He is smart.,He is dumb.,1,eraser,"rubbery, correcting, undoing","He is sharp like a eraser. Characteristics of eraser include: rubbery, correcting, undoing."
484,The glasses had the dirtiness of a bride on her wedding night,The glasses are pretty dirty,The glases are clean,0,bride,"Young, radiant, hopeful","The glasses had the dirtiness of a bride on her wedding night. Characteristics of bride include: Young, radiant, hopeful."
485,The glasses had the dirtiness of a bride on her wedding day,The glasses are pretty dirty,The glases are clean,1,bride,"beautiful, radiant, enchanting","The glasses had the dirtiness of a bride on her wedding day. Characteristics of bride include: beautiful, radiant, enchanting."
486,The tofu is as spicy as a hot poker on your tongue.,The tofu is super spicy.,The tofu is not spicy at all.,0,poker,"competitive, unpredictable, strategic","The tofu is as spicy as a hot poker on your tongue. Characteristics of poker include: competitive, unpredictable, strategic."
487,The tofu is as spicy as milk.,The tofu is super spicy.,The tofu is not spicy at all.,1,milk,"creamy, nourishing, essential","The tofu is as spicy as milk. Characteristics of milk include: creamy, nourishing, essential."
488,In sparring class I got kicked in the head like a horse kick.,The kick was hard.,The kick was soft.,0,kick,"powerful, aggressive, unpredictable","In sparring class I got kicked in the head like a horse kick. Characteristics of kick include: powerful, aggressive, unpredictable."
489,In sparring class I got kicked in the head like a gnat landing.,The kick was hard.,The kick was soft.,1,gnat,"Tiny, pesky, annoying","In sparring class I got kicked in the head like a gnat landing. Characteristics of gnat include: Tiny, pesky, annoying."
490,The boy is as polite as an inmate at a prison,the boy is mean,the boy is nice,0,inmate,"confined, incarcerated, isolated","The boy is as polite as an inmate at a prison. Characteristics of inmate include: confined, incarcerated, isolated."
491,The boy is as polite as a nun,the boy is mean,the boy is nice,1,nun,"holy, devoted, chaste","The boy is as polite as a nun. Characteristics of nun include: holy, devoted, chaste."
492,The house is as pretty as a dead porcupine,the house is pretty,the house is ugly,0,porcupine,"spikey, defensive, nocturnal","The house is as pretty as a dead porcupine. Characteristics of porcupine include: spikey, defensive, nocturnal."
493,The house is as pretty as a sunset,the house is pretty,the house is ugly,1,sunset,"beautiful, serene, ephemeral","The house is as pretty as a sunset. Characteristics of sunset include: beautiful, serene, ephemeral."
494,The blog post was as long as the Amazon River,The blog post was very long.,The blog post was very short.,0,River,"Flowing, Serene, Majestic","The blog post was as long as the Amazon River. Characteristics of River include: Flowing, Serene, Majestic."
495,The blog post was as long as a power nap,The blog post was very long.,The blog post was very short.,1,nap.,"short, refreshing, temporary","The blog post was as long as a power nap. Characteristics of nap. include: short, refreshing, temporary."
496,This drink has the sweetness of a chocolate coverd caramel,It is very sweet,It is fairly bland,0,caramel,"sweet, smooth, golden","This drink has the sweetness of a chocolate coverd caramel. Characteristics of caramel include: sweet, smooth, golden."
497,This drink has the sweetness of a piece of white bread,It is very sweet,It is fairly bland,1,bread,"nutritious, versatile, comforting","This drink has the sweetness of a piece of white bread. Characteristics of bread include: nutritious, versatile, comforting."
498,The headphones are as loud as a hurricane,The headphones are loud,The headphones are quiet,0,hurricane,"Devastating, powerful, unpredictable","The headphones are as loud as a hurricane. Characteristics of hurricane include: Devastating, powerful, unpredictable."
499,The headphones are as loud as a pin drop,The headphones are loud,The headphones are quiet,1,pin drop,"Quiet, sharp, focused","The headphones are as loud as a pin drop. Characteristics of pin drop include: Quiet, sharp, focused."
500,This boy has the intellect of a bucket of rocks.,The boy is stupid.,The boy is a super genius.,0,bucket,"useful, versatile, sturdy","This boy has the intellect of a bucket of rocks. Characteristics of bucket include: useful, versatile, sturdy."
501,This boy has the intellect of 10 of Einstein's brains glued together.,The boy is stupid.,The boy is a super genius.,1,brains,"metaphorical, intellectual, resourceful","This boy has the intellect of 10 of Einstein's brains glued together. Characteristics of brains include: metaphorical, intellectual, resourceful."
